,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19,0.005983400344848633,0.0005369055417768571,0.002656221389770508,0.00024257306612120164,0.1,1,1,sigmoid,"{'C': 0.1, 'degree': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.5,0.524390243902439,0.573170731707317,0.5432098765432098,0.4567901234567901,0.5195121951219511,0.03944463980207712,39,0.5552147239263804,0.5061349693251533,0.4815950920245399,0.5168195718654435,0.5443425076452599,0.5208213729573554,0.02648226707565812
30,0.0048221111297607425,0.00021352209958771807,0.0024363517761230467,9.081506077037313e-05,0.1,2,0.01,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.6219512195121951,0.5121951219512195,0.5121951219512195,0.49382716049382713,0.49382716049382713,0.5267991568804578,0.04827996641867692,38,0.6411042944785276,0.50920245398773,0.5153374233128835,0.5015290519877675,0.5015290519877675,0.5337404551509353,0.05393130457268604
39,0.005273866653442383,0.000982114436873345,0.0020823955535888674,0.0003135397908720879,0.1,2,1,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'sigmoid'}",0.5,0.524390243902439,0.573170731707317,0.5432098765432098,0.4567901234567901,0.5195121951219511,0.03944463980207712,39,0.5552147239263804,0.5061349693251533,0.4815950920245399,0.5168195718654435,0.5443425076452599,0.5208213729573554,0.02648226707565812
