,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19,0.004840850830078125,0.00030944185637152673,0.0018323898315429688,0.00014787362246830498,0.1,1,1,sigmoid,"{'C': 0.1, 'degree': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.6625,0.65,0.675,0.6875,0.7875,0.6925,0.04911720676097124,34,0.646875,0.646875,0.68125,0.6875,0.603125,0.653125,0.030168795965367926
20,0.0029006004333496094,0.0006737070870058929,0.0010717391967773437,0.0001483558645780687,0.1,2,scale,linear,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.8375,0.85,0.75,0.7625,0.9125,0.8225,0.0598957427535547,1,0.825,0.809375,0.834375,0.834375,0.79375,0.819375,0.01573709789001772
21,0.0035361289978027345,9.765860156118812e-05,0.0020155906677246094,0.00017432112630629923,0.1,2,scale,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.825,0.7375,0.7625,0.7875,0.85,0.7925000000000001,0.04077376607575021,17,0.83125,0.80625,0.828125,0.834375,0.796875,0.8193750000000002,0.014973935688388673
22,0.0028796672821044924,0.0006522214557266065,0.0011530399322509765,0.0001613008664059194,0.1,2,scale,poly,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6375,0.575,0.6375,0.625,0.6,0.615,0.024238399287081647,38,0.6125,0.64375,0.625,0.621875,0.659375,0.6325,0.016840241981634366
23,0.004652214050292969,0.00026138347175028496,0.001987934112548828,0.00026010088005541464,0.1,2,scale,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.8,0.75,0.7375,0.725,0.875,0.7775000000000001,0.055,27,0.79375,0.796875,0.81875,0.80625,0.7625,0.7956249999999999,0.018708286933869722
24,0.002649831771850586,0.00028487456270392334,0.0011809349060058593,0.00017529323890078802,0.1,2,auto,linear,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.8375,0.85,0.75,0.7625,0.9125,0.8225,0.0598957427535547,1,0.825,0.809375,0.834375,0.834375,0.79375,0.819375,0.01573709789001772
25,0.003411674499511719,0.00044459751977616067,0.001781463623046875,0.00023838309977713404,0.1,2,auto,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.8125,0.7625,0.7625,0.7875,0.8625,0.7975,0.037416573867739444,15,0.84375,0.83125,0.834375,0.85,0.809375,0.83375,0.013891319231808053
26,0.003391456604003906,0.00031071100004208144,0.0015427112579345704,0.00020711407557689196,0.1,2,auto,poly,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.625,0.625,0.6375,0.675,0.625,0.6375,0.019364916731037102,37,0.696875,0.70625,0.675,0.684375,0.675,0.6875,0.012342761036332186
27,0.004918241500854492,0.0003306586557006009,0.0018735408782958984,9.385136518117132e-05,0.1,2,auto,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.775,0.775,0.75,0.7625,0.8875,0.79,0.049623583103198005,19,0.8,0.7875,0.825,0.828125,0.771875,0.8024999999999999,0.021596440678963744
28,0.004834222793579102,0.004157906674559455,0.0013666629791259765,0.0003401305019283084,0.1,2,0.01,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'linear'}",0.8375,0.85,0.75,0.7625,0.9125,0.8225,0.0598957427535547,1,0.825,0.809375,0.834375,0.834375,0.79375,0.819375,0.01573709789001772
