,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_bin,param_max_depth,param_max_leaves,param_n_estimators,param_scale_pos_weight,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
0,0.1652596950531006,0.02813347632613818,0.01630706787109375,0.005866590864789811,0.2,0.3,2,1,1,5,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 1, 'n_estimators': 5, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.16013674736022948,0.029202312722340293,0.015765380859375,0.0035483149079245206,0.2,0.3,2,1,1,10,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 1, 'n_estimators': 10, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.1577759265899658,0.03172823310575499,0.013747358322143554,0.004447476778707984,0.2,0.3,2,1,1,20,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 1, 'n_estimators': 20, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.05929741859436035,0.07004976278191902,0.014736175537109375,0.0026165359470454548,0.2,0.3,2,1,1,30,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 1, 'n_estimators': 30, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.025786352157592774,0.004540344757814114,0.017282867431640626,0.005210699643312299,0.2,0.3,2,1,1,40,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 1, 'n_estimators': 40, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.024393463134765626,0.0016417273357219513,0.012431144714355469,0.003246477805638312,0.2,0.3,2,1,1,50,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 1, 'n_estimators': 50, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.01491403579711914,0.0039006952603140976,0.01116194725036621,0.0014846083406450706,0.2,0.3,2,1,2,5,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 2, 'n_estimators': 5, 'scale_pos_weight': 4.5}",0.5714285714285714,0.5,0.5333333333333333,0.5454545454545454,0.4888888888888889,0.5278210678210679,0.030108687605135357,477,0.5164835164835165,0.5340909090909091,0.5251396648044693,0.5222222222222223,0.5363128491620112,0.5268498323526256,0.007399754492202354,0.8571428571428571,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7857142857142857,0.8824175824175825,0.054680682657691146,293,0.8867924528301887,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.9056603773584906,0.880712788259958,0.01400172379762098
7,0.012495470046997071,0.001850031319275516,0.013198566436767579,0.0013498603999573917,0.2,0.3,2,1,2,10,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 2, 'n_estimators': 10, 'scale_pos_weight': 4.5}",0.5641025641025641,0.5,0.5238095238095238,0.5454545454545454,0.4888888888888889,0.5244511044511044,0.027843570520923913,536,0.5732484076433121,0.5340909090909091,0.5542168674698795,0.5222222222222223,0.5363128491620112,0.5440182511176668,0.01784043744216408,0.7857142857142857,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.7857142857142857,0.8527472527472527,0.06151883517485016,379,0.8490566037735849,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.9056603773584906,0.8694619147449336,0.020191435361398134
8,0.016002559661865236,0.0016394677249981092,0.009316682815551758,0.0006263006395577222,0.2,0.3,2,1,2,20,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 2, 'n_estimators': 20, 'scale_pos_weight': 4.5}",0.6341463414634146,0.6,0.5116279069767442,0.5454545454545454,0.5,0.5582457587789408,0.05144652130608126,33,0.5696969696969697,0.5575757575757576,0.5853658536585366,0.573170731707317,0.5517241379310345,0.5675066901139232,0.011862046946628173,0.9285714285714286,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.7857142857142857,0.8813186813186814,0.056739914916156445,345,0.8867924528301887,0.8518518518518519,0.8888888888888888,0.8703703703703703,0.9056603773584906,0.880712788259958,0.018254382502652634
9,0.013591957092285157,0.0016941260133514482,0.010576629638671875,0.0017717972821986807,0.2,0.3,2,1,2,30,4.5,"{'gamma': 0.2, 'learning_rate': 0.3, 'max_bin': 2, 'max_depth': 1, 'max_leaves': 2, 'n_estimators': 30, 'scale_pos_weight': 4.5}",0.5641025641025641,0.5789473684210527,0.5116279069767442,0.5714285714285714,0.5128205128205128,0.547785384749889,0.029415048232581238,135,0.5802469135802469,0.573170731707317,0.6,0.5838509316770186,0.5783132530120482,0.5831163659953262,0.009119385690142279,0.7857142857142857,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.7142857142857143,0.8230769230769232,0.06970879792155477,609,0.8867924528301887,0.8703703703703703,0.8888888888888888,0.8703703703703703,0.9056603773584906,0.8844164919636617,0.013202554711810317
